,Schuri,Researcher Carrot,Lillas,Holiday Yufine,Tenebria,Poltis,Kayron,Melissa,Sez,Angelina,Krau,Arbiter Vildred,Choux,Kise,Elena,Auxiliary Lots,Blood Blade Karin,Fallen Cecilia,Dark Corvus,Sinful Angelica,Assassin Cidd,Martial Artist Ken,Remnant Violet,General Purrgis,Little Queen Charlotte,Specimen Sez,Silver Blade Aramintha,Ruele of Light,Crimson Armin,Maid Chloe,Falconer Kluri,Ludwig,Vildred,Landy
Krau,-0.019587018955601877,-0.06644905819962355,-0.0689734463527048,-0.11773403136273364,-0.05635879738697726,-0.13892738646532368,0.10975671467382361,-0.02595927816128764,-0.05825172680661453,0.12038707592755396,1.0,-0.12482199657194758,-0.03102965106400336,0.09922071604456581,-0.0070236098942062205,-0.04375178526704696,-0.07429543473019092,-0.03193203447432593,-0.02561925083742144,-0.021498207460575937,-0.007631309383885235,-0.1186227338544378,-0.08421411166312702,0.2018097681178847,0.343753033973405,-0.004390842808598778,0.09921658591180706,-0.028143823626618977,-0.103868492567736,-0.11698567332429632,-0.014502577422011094,-0.0502018186772513,-0.034808289306744955,-0.07557670287374132
Arbiter Vildred,0.014453885091641146,-0.12077614739763592,-0.11931288307291814,-0.21024537530333845,5.539908617407372e-05,0.03142855202777064,-0.03191952172210525,-0.028857833457822623,-0.09687816107269494,0.281939201940719,-0.12482199657194758,1.0,-0.09957813231444819,-0.033121709079753224,0.008881520197960244,-0.16382620483198157,-0.15071188231574814,-0.07025494829624905,-0.1842448748782761,-0.05890230768598976,0.017636824666396548,0.2533310844666097,-0.1800289872572283,-0.15380949174235167,-0.21235929187245997,-0.07568285914386495,-0.03431450516163869,0.10693465907415826,0.4047371622334357,-0.34148174876025333,-0.04420597006453155,-0.0408498113980034,-0.05058063796714281,-0.09713090412218522
Choux,-0.016069801688845153,-0.0934629279041223,-0.010047024482464157,0.08641251523394453,-0.04236820769657824,-0.07064967609923445,-0.007269041328823452,-0.02129780202812091,0.026900509723513582,0.0231282709643654,-0.03102965106400336,-0.09957813231444819,1.0,0.04691564692989258,0.02658996413354939,-0.011595676114559753,-0.004201581960385849,0.011562878193656766,-0.09537538675066676,-0.04520890452556141,-0.018424483795235425,-0.08555356577893411,-0.06021507221277367,0.008911072876721698,-0.01801289512259971,0.016205483261021357,0.004129046267272695,0.010359760095075117,-0.06286223990317577,0.0639477495718421,-0.01872643871720913,-0.024423836982684494,0.01738853134995391,-0.04522971168056292
Kise,-0.013558525078629268,-0.08597326335687853,-0.03248779560887506,0.021206327688298453,-0.024426396695888714,-0.07497831875549908,-0.018605991876649738,-0.01796952996118218,-0.0031687132845138323,-0.01929950700273938,0.09922071604456581,-0.033121709079753224,0.04691564692989258,1.0,0.017907718636646665,-0.030127771963719248,-0.04479871765081673,0.030653191513083655,-0.06849703547835732,-0.0030797987407813784,0.04629404813704636,-0.03651867807233671,-0.050208652870333256,0.00500904060721433,0.02471281537157176,-0.023573355153883525,-0.013558525078629296,0.056101486419200756,-0.05467776816660038,-0.009028562184324315,-0.020480525530121797,-0.03951539225264345,0.0027431221572645006,-0.05231570069934851
Elena,-0.01325510396005748,-0.1222693249501613,0.00038544330870947136,-0.04589487100101959,0.058829723705222936,-0.06394310951113508,-0.01818961540246755,0.018934247641296805,-0.001036396940834593,-0.08193425830822781,-0.0070236098942062205,0.008881520197960244,0.02658996413354939,0.017907718636646665,1.0,-0.006152025334969778,-0.05027787604324003,0.0025185521625768355,-0.06353006828218795,-0.04664215635294391,0.02690551772428549,0.007909424405170708,0.09963165969398402,-0.025519133978208763,0.015049527505737684,-0.013870359182681794,-0.013255103960057493,-0.029550402013527367,-0.02246260272795563,-0.05495447034142916,-0.030317705605504633,0.03843841248569421,0.017557468271946073,-0.024458490204388894
Auxiliary Lots,-0.024488815001989763,-0.11968365164246915,-0.09172394380126878,0.013643909937823483,-0.022557784053972258,-0.13807660313561224,-0.03360532877679818,0.010336988325682764,-0.03448182254526913,-0.15583969314415888,-0.04375178526704696,-0.16382620483198157,-0.011595676114559753,-0.030127771963719248,-0.006152025334969778,1.0,0.018244372463977768,0.10863767478272521,0.16424558339150824,0.018457255029015216,-0.028077121541697208,-0.0878803292754651,0.07624805790273732,-0.03017706873420129,0.024592086656489216,-0.02292683066791541,0.017889669032969048,-0.035214512380896505,-0.10484564217525699,-0.047586435918750884,0.02594516321944474,-0.08353576067656703,0.0528790566240257,-0.000632584308581651
Blood Blade Karin,0.03422209909730161,0.06842546458429927,-0.05571052703213334,-0.07578557587666582,-0.04209801107274587,-0.0018415919629015175,-0.025688641328539583,-0.024809900653271332,0.02124415242840744,-0.14984555848095438,-0.07429543473019092,-0.15071188231574814,-0.004201581960385849,-0.04479871765081673,-0.05027787604324003,0.018244372463977768,1.0,0.07910826856093146,0.27266929364875525,-0.03314027870982679,-0.021462759957297246,-0.07791777735640852,-0.03936773123196603,-0.025009297065127112,-0.03449923107218964,-0.05540234697315508,-0.0010724874360978022,-0.03366294557683218,-0.051162414823040334,-0.13567945589261102,-0.04281677473501775,-0.021073625237596642,-0.003160375587228747,-0.07223045565248193
Fallen Cecilia,0.0037983068470766913,-0.13038972021903586,-0.06801784558138214,-0.04231008213898361,-0.03683246097067273,-0.04633799256782613,0.007044212281746899,-0.021504520666062805,-0.008783805943078624,-0.12897159003901223,-0.03193203447432593,-0.07025494829624905,0.011562878193656766,0.030653191513083655,0.0025185521625768355,0.10863767478272521,0.07910826856093146,1.0,-0.02517595707921889,-0.05049826308124324,-0.01860331371345445,-0.07004529555495312,-0.07480215157870797,0.018631009509465394,0.11834793058345294,0.0011447475233536703,-0.01622577682246356,-0.017858888139566244,-0.0681090543849586,-0.030710459232573498,0.2577951957785601,-0.009080657549063025,0.02810101033442415,-0.04597669044787324
Dark Corvus,-0.026255605604342966,0.055691927345901455,0.02441884080994768,0.06190209569377866,0.00818724268168583,-0.05925227359087671,-0.04019510292924136,0.0048556918455355935,0.006551855455398367,-0.403973567669225,-0.02561925083742144,-0.1842448748782761,-0.09537538675066676,-0.06849703547835732,-0.06353006828218795,0.16424558339150824,0.27266929364875525,-0.02517595707921889,1.0,-0.015846229939643484,-0.045514469734752566,-0.30173941257137865,0.06526515910238134,-0.11256785184742726,-0.06754188413873301,-0.027599064297758685,0.001062074742351546,-0.07779247883395418,-0.1931931782559063,-0.03276334467577575,0.09691465820445025,-0.08699321225772581,0.02389518211052592,-0.03024936833552965
Sinful Angelica,-0.029628519411153617,-0.16914232034127574,-0.04195591915598932,0.016533217239786888,0.05018851971333426,-0.07368652116812881,-0.022709206185608597,-0.020694155331066406,-0.04351675272833561,-0.19500244676948858,-0.021498207460575937,-0.05890230768598976,-0.04520890452556141,-0.0030797987407813784,-0.04664215635294391,0.018457255029015216,-0.03314027870982679,-0.05049826308124324,-0.015846229939643484,1.0,0.051724261823251905,0.03995456826922014,0.1647213376390372,-0.025424715404216997,0.0025295303884112614,0.032746146997626464,-0.005103693130274925,-0.054837326185330076,-0.11646944410660057,-0.09760189433414564,-0.013041565123402266,-0.066961417764005,-0.031733149264788214,-0.09055852317073784
Assassin Cidd,-0.005658375748789903,-0.03407055624818357,-0.009566076053281417,0.003900806510394559,0.01453748966736975,0.016814755091417836,-0.0077648337563616795,0.07560437387015627,-0.005345156120832129,-0.00742633832612859,-0.007631309383885235,0.017636824666396548,-0.018424483795235425,0.04629404813704636,0.02690551772428549,-0.028077121541697208,-0.021462759957297246,-0.01860331371345445,-0.045514469734752566,0.051724261823251905,1.0,-0.057465980706311766,-0.02767405152744898,0.022864982742323445,-0.003424403589701383,-0.01674631244435977,-0.0056583757487899,0.03756643106143024,-0.031027706715076316,-0.019809622797320563,-0.01294210672915728,-0.03090062535007675,-0.010055556719304547,-0.021832897782128824
Martial Artist Ken,0.03345818985676891,-0.13509007924945507,-0.05439111516040646,-0.17751933077042512,0.04380332622481275,-0.14340468958571184,-0.034797135038435,-0.010163212587299405,-0.06682081286341965,0.19949781282943518,-0.1186227338544378,0.2533310844666097,-0.08555356577893411,-0.03651867807233671,0.007909424405170708,-0.0878803292754651,-0.07791777735640852,-0.07004529555495312,-0.30173941257137865,0.03995456826922014,-0.057465980706311766,1.0,-0.02754582551731147,-0.13014506191074532,-0.13524386035356764,-0.008269513815355652,-0.01297509628795475,-0.009815421350863376,0.29995072301023895,-0.267718584523751,-0.08977342137347298,-0.25042198016384776,-0.03626090464292018,0.037990604405967146
Remnant Violet,-0.024137258059191553,-0.06272690530058937,-0.0790680421288708,-0.14082940677086334,-0.07794569651952918,-0.09500231035148708,-0.03312289683202911,-0.03198984988116991,-0.044785034399209916,0.03148508378677083,-0.08421411166312702,-0.1800289872572283,-0.06021507221277367,-0.050208652870333256,0.09963165969398402,0.07624805790273732,-0.03936773123196603,-0.07480215157870797,0.06526515910238134,0.1647213376390372,-0.02767405152744898,-0.02754582551731147,1.0,-0.07884329230618363,-0.00405568820485018,-0.046377832220940884,-0.02413725805919152,0.018061220148784134,-0.09364875873141085,-0.18339256899813447,0.014933216788498087,0.1937268634853902,-0.04289456519648736,-0.08522295545551382
General Purrgis,-0.019316195424947856,-0.07366342832796224,-0.06324960209760362,-0.09360078861644403,-0.055309043739269044,-0.08616520075151098,0.06148717681445284,-0.025600347413285252,-0.0668928368130275,-0.0008925908133912366,0.2018097681178847,-0.15380949174235167,0.008911072876721698,0.00500904060721433,-0.025519133978208763,-0.03017706873420129,-0.025009297065127112,0.018631009509465394,-0.11256785184742726,-0.025424715404216997,0.022864982742323445,-0.13014506191074532,-0.07884329230618363,1.0,0.3378525205637948,0.003078888657068598,0.01503542285806528,0.0040647078021297444,-0.09160267812104446,-0.03268219358748986,-0.03651549279300102,-0.04445065241162538,0.0047428230226027705,0.058608702043543646
Little Queen Charlotte,0.005603336432625742,-0.1479132650458833,-0.11534093885321235,-0.15331327895682612,-0.052049332381976766,-0.17379850374538197,0.0197916019540845,-0.013066216657824817,-0.10296862615086497,0.012913544585747365,0.343753033973405,-0.21235929187245997,-0.01801289512259971,0.02471281537157176,0.015049527505737684,0.024592086656489216,-0.03449923107218964,0.11834793058345294,-0.06754188413873301,0.0025295303884112614,-0.003424403589701383,-0.13524386035356764,-0.00405568820485018,0.3378525205637948,1.0,0.08697665229236914,0.017629469566680246,-0.023943039676944996,-0.13703520572639183,-0.11269898823105753,-0.021399488952732654,-0.060842468550031815,0.00739313426884973,-0.017707533986010725
Specimen Sez,-0.01460610364942178,-0.05243049133007652,-0.055545000294644674,-0.062191083511610096,-0.04303890421024395,-0.039103543210885786,-0.020043555200483554,-0.01935791803476548,-0.04169604470226885,-0.007931791102051843,-0.004390842808598778,-0.07568285914386495,0.016205483261021357,-0.023573355153883525,-0.013870359182681794,-0.02292683066791541,-0.05540234697315508,0.0011447475233536703,-0.027599064297758685,0.032746146997626464,-0.01674631244435977,-0.008269513815355652,-0.046377832220940884,0.003078888657068598,0.08697665229236914,1.0,-0.014606103649421802,0.05811112270425119,-0.04336286995115002,-0.04012949194990645,-0.00391115432111034,0.0031295178230769665,-0.02595665438552971,-0.05635779278907112
Silver Blade Aramintha,-0.004935225169648366,-0.012199504614532083,-0.00448577568694662,-0.03204014283289351,-0.01683814596971484,-0.0398789197514696,-0.00677247406214173,-0.006540805584448008,-0.018345739982456106,-0.021161657584796448,0.09921658591180706,-0.03431450516163869,0.004129046267272695,-0.013558525078629296,-0.013255103960057493,0.017889669032969048,-0.0010724874360978022,-0.01622577682246356,0.001062074742351546,-0.005103693130274925,-0.0056583757487899,-0.01297509628795475,-0.02413725805919152,0.01503542285806528,0.017629469566680246,-0.014606103649421802,1.0,0.017720203273642356,-0.02706231009304403,0.0013658532059035858,-0.011288082254288661,-0.0006931299091204965,-0.008770438517900088,-0.019042614249109604
Ruele of Light,-0.011002394868410773,-0.10258861650868774,0.03538265497753136,-0.06079253179209353,-0.019821393558817894,-0.009396898517271938,-0.015098284537453505,-0.014581812039739371,-0.032686134900725416,-0.007114368362928007,-0.028143823626618977,0.10693465907415826,0.010359760095075117,0.056101486419200756,-0.029550402013527367,-0.035214512380896505,-0.03366294557683218,-0.017858888139566244,-0.07779247883395418,-0.054837326185330076,0.03756643106143024,-0.009815421350863376,0.018061220148784134,0.0040647078021297444,-0.023943039676944996,0.05811112270425119,0.017720203273642356,1.0,-0.006459773480939595,-0.0728301843322458,0.013290814935585427,-4.42285874649517e-05,-0.019552467096436682,-0.02654950411882013
Crimson Armin,0.02529458199908023,-0.18948197979575254,-0.08643149332441513,-0.11752607451570826,-0.05196299342326462,-0.1739182462359249,-0.037136865465418244,0.043436572307643806,-0.0968560572996793,0.27745902163724057,-0.103868492567736,0.4047371622334357,-0.06286223990317577,-0.05467776816660038,-0.02246260272795563,-0.10484564217525699,-0.051162414823040334,-0.0681090543849586,-0.1931931782559063,-0.11646944410660057,-0.031027706715076316,0.29995072301023895,-0.09364875873141085,-0.09160267812104446,-0.13703520572639183,-0.04336286995115002,-0.02706231009304403,-0.006459773480939595,1.0,-0.21054568939339707,-0.0268484946098684,-0.0684413025722232,-0.04809270472258913,-0.10079651679314416
Maid Chloe,-0.036831140311985096,0.029858669988250763,0.19479079812009292,0.5051588221814113,-0.0021505352518374024,-0.06690310209242051,-0.01472429434904045,0.0614737939766722,0.07607224198685028,-0.13272058728692365,-0.11698567332429632,-0.34148174876025333,0.0639477495718421,-0.009028562184324315,-0.05495447034142916,-0.047586435918750884,-0.13567945589261102,-0.030710459232573498,-0.03276334467577575,-0.09760189433414564,-0.019809622797320563,-0.267718584523751,-0.18339256899813447,-0.03268219358748986,-0.11269898823105753,-0.04012949194990645,0.0013658532059035858,-0.0728301843322458,-0.21054568939339707,1.0,-0.07198939316437358,0.00820752915687828,-0.011827583727640065,-0.09964968938875184
Falconer Kluri,-0.011288082254288644,-0.03841414674996915,-0.047319215842978095,-0.031762341784128595,-0.012577626277313087,-0.031877186089149766,-0.015490325496929472,-0.014960442311859145,-0.017915210457583517,-0.07081804412334529,-0.014502577422011094,-0.04420597006453155,-0.01872643871720913,-0.020480525530121797,-0.030317705605504633,0.02594516321944474,-0.04281677473501775,0.2577951957785601,0.09691465820445025,-0.013041565123402266,-0.01294210672915728,-0.08977342137347298,0.014933216788498087,-0.03651549279300102,-0.021399488952732654,-0.00391115432111034,-0.011288082254288661,0.013290814935585427,-0.0268484946098684,-0.07198939316437358,1.0,-0.008909667938445156,-0.020060165036662594,-0.04355517501057684
Ludwig,-0.026951469954639793,-0.07904695127628392,-0.014759694644294915,-0.00237278236110603,-0.010969431736897628,-0.027513570188394763,-0.008157883039147563,-0.03571961139129756,-0.06264443631458598,0.038017886587480836,-0.0502018186772513,-0.0408498113980034,-0.024423836982684494,-0.03951539225264345,0.03843841248569421,-0.08353576067656703,-0.021073625237596642,-0.009080657549063025,-0.08699321225772581,-0.066961417764005,-0.03090062535007675,-0.25042198016384776,0.1937268634853902,-0.04445065241162538,-0.060842468550031815,0.0031295178230769665,-0.0006931299091204965,-4.42285874649517e-05,-0.0684413025722232,0.00820752915687828,-0.008909667938445156,1.0,-0.04042949576426339,-0.06764522244687857
Vildred,-0.008770438517900072,0.0006420763014576045,-0.03676534808278958,-0.05693886158402996,-0.007891620410840443,-0.03597372161812195,-0.012035432089579638,-0.011623731696932068,0.008250915051825151,0.013541228779883764,-0.034808289306744955,-0.05058063796714281,0.01738853134995391,0.0027431221572645006,0.017557468271946073,0.0528790566240257,-0.003160375587228747,0.02810101033442415,0.02389518211052592,-0.031733149264788214,-0.010055556719304547,-0.03626090464292018,-0.04289456519648736,0.0047428230226027705,0.00739313426884973,-0.02595665438552971,-0.008770438517900088,-0.019552467096436682,-0.04809270472258913,-0.011827583727640065,-0.020060165036662594,-0.04042949576426339,1.0,-0.014064427810145939
Landy,-0.01904261424910957,0.18221791613919378,-0.034970307338608106,-0.10430980343372181,-0.04888192691908848,0.22552345459599393,-0.026131656944571403,0.001099402823439741,-0.07078721590027665,-0.1406684532469642,-0.07557670287374132,-0.09713090412218522,-0.04522971168056292,-0.05231570069934851,-0.024458490204388894,-0.000632584308581651,-0.07223045565248193,-0.04597669044787324,-0.03024936833552965,-0.09055852317073784,-0.021832897782128824,0.037990604405967146,-0.08522295545551382,0.058608702043543646,-0.017707533986010725,-0.05635779278907112,-0.019042614249109604,-0.02654950411882013,-0.10079651679314416,-0.09964968938875184,-0.04355517501057684,-0.06764522244687857,-0.014064427810145939,1.0
